Music Rehearsal Space_rank,Recording Studio_rank,name,phone,address,website,location,search_datetime,neighborhood,email,extra_phones,social_links,categories,hour_category,other_info,detailed_hours,slogan,general_info,yp_url,space_image
11,,DVS Analytics,(480) 745-1645,"17255 N 82nd St Ste 120, Scottsdale, AZ 85255",http://www.dvsanalytics.com,"Scottsdale, AZ",2024-01-23 20:15:54,Sonoran,sales@dvsanalytics.com,Phone:  (480) 538-2020 Phone:  (480) 538-7700,,Recording Service-Sound & Video,Regular Hours,,Mon - Fri: 8:00 am - 5:00 pm,,,http://www.yellowpages.com/scottsdale-az/mip/dvs-analytics-468845270,
12,,The Scottsdale Studio of Music,(480) 267-2684,"8541 E Anderson Dr Ste 103, Scottsdale, AZ 85255",http://www.scottsdalestudioofmusic.com,"Scottsdale, AZ",2024-01-23 20:15:54,Sonoran,scottsdaleschoolofmusic@gmail.com,Phone:  (602) 789-3332,,"Recording Service-Sound & Video, Music Schools",Regular Hours,,Mon - Sun: 8:00 am - 9:00 pm,,,http://www.yellowpages.com/scottsdale-az/mip/the-scottsdale-studio-of-music-520872788,
13,,Bach to Rock North Scottsdale,(480) 990-8000,"7325 E Frank Lloyd Wright Blvd, Scottsdale, AZ 85260",https://www.bachtorock.com/northscottsdale,"Scottsdale, AZ",2024-01-23 20:15:54,Airpark,northscottsdale@bachtorock.com,TollFree:  (877) 227-8558,,"Music Instruction-Instrumental, Educational Services, Recording Service-Sound & Video",Regular Hours,,"Mon - Thu: 11:00 am - 7:30 pm, Fri: 11:00 am - 6:30 pm, Sat: 9:00 am - 5:00 pm, Sun: 11:00 am - 3:00 pm",,"Bach to Rock in North Scottsdale, AZ provides music lessons for students of all ages and skill levels living in North Scottsdale, Paradise Valley, Desert Ridge, Carefree & Cave Creek. Instruments we teach include guitar, piano, drums, voice, violin, trumpet & more! B2R birthday parties and seasonal camps are great opportunities to play & learn music with your friends and make new ones! We also have early childhood classes for toddlers and preschoolers. Take your skills to the next level in a Glee Club or Rock Band. B2R offers opportunities for students to perform in venues around Scottsdale and Phoenix.",http://www.yellowpages.com/scottsdale-az/mip/bach-to-rock-north-scottsdale-532545337,
14,,Scottsdale Studios,(480) 767-3777,"9445 E Doubletree Ranch Rd, Scottsdale, AZ 85258",http://www.scottsdalestudios.net,"Scottsdale, AZ",2024-01-23 20:15:54,Via Linda Corridor,,,,"Studio Rental, Recording Service-Sound & Video",Regular Hours,Parking: Lot,"Mon: 9:00 am - 11:00 pm, Tue - Fri: 9:00 am - 10:00 pm, Sat: 8:00 am - 10:00 pm, Sun: 9:00 am - 10:00 pm",,,http://www.yellowpages.com/scottsdale-az/mip/scottsdale-studios-504268827,
15,,Wild Horse Studio,(480) 563-4445,"8711 E Pinnacle Peak Rd, Scottsdale, AZ 85255",,"Scottsdale, AZ",2024-01-23 20:15:54,Pinnacle Peak Vista,,,,"Studio Rental, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/scottsdale-az/mip/wild-horse-studio-475805208,
16,,Audio Makers,(480) 946-0677,"7505 E Main St Ste 100, Scottsdale, AZ 85251",,"Scottsdale, AZ",2024-01-23 20:15:54,"Monterey Arcadia, Downtown Scottsdale",personalproducer@audiomakers.com,Phone:  (480) 946-0118,,"Audio-Visual Production Services, Recording Service-Sound & Video, Video Production Services",,Parking: Lot,,,,http://www.yellowpages.com/scottsdale-az/mip/audio-makers-4805545,
17,,Temple Music Studios,(480) 695-7430,"7110 E Mcdonald Dr, Scottsdale, AZ 85253",https://templemusicstudio.com,"Scottsdale, AZ",2024-01-23 20:15:54,,,,,"Music Instruction-Instrumental, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/scottsdale-az/mip/temple-music-studios-534536820,
18,,DJ JonnY Rogers,(602) 615-0744,"6721 E Mcdowell Rd Unit 303d, Scottsdale, AZ 85257",,"Scottsdale, AZ",2024-01-23 20:15:54,South Scottsdale,audiofloaz@mac.com,,,"Disc Jockeys, Music Producers, Music-Background & Foreground, Musicians, Recording Service-Sound & Video",Regular Hours,,Mon - Sun: Open 24 Hours,Professional Mobile Audio for the 21st Century.,,http://www.yellowpages.com/scottsdale-az/mip/dj-jonny-rogers-454070063,
19,,Stem Recording,(602) 320-5313,"9516 N 52nd St, Paradise Valley, AZ 85253",https://www.stemrecording.com,"Scottsdale, AZ",2024-01-23 20:15:54,Tatum Garden Estates,,Phone:  (480) 473-4868,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/paradise-valley-az/mip/stem-recording-490107878,
20,,Comstock Records Ltd,(480) 951-3115,"PO Box 19720, Fountain Hills, AZ 85269",https://www.comstockrecords.com/rocknroll/contact.html,"Scottsdale, AZ",2024-01-23 20:15:54,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/fountain-hills-az/mip/comstock-records-ltd-467224231,
21,,Bel Canto Voice Studios,(480) 991-5054,"10333 N Scottsdale Rd Ste 5, Paradise Vly, AZ 85253",http://www.daleyeoman.com,"Scottsdale, AZ",2024-01-23 20:15:54,West Cactus,,Phone:  (602) 708-9539,,"Music Instruction-Vocal, Acting Schools & Workshops, Music Instruction-Instrumental, Music Schools, Musicians, Recording Service-Sound & Video, Schools",Regular Hours,Parking: Lot,Mon - Fri: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/paradise-vly-az/mip/bel-canto-voice-studios-10528918,
22,,Live Jacked Training Studio,(480) 815-1521,"4300 N Miller Rd Suite G105, Scottsdale, AZ 85251",http://www.livejacked.com,"Scottsdale, AZ",2024-01-23 20:15:56,"Downtown Scottsdale, Monterey Arcadia",mblake@liveJACKED.com,,,Studio Rental,Regular Hours,,"Mon - Fri: 6:00 am - 8:00 pm, Sat: 6:00 am - 4:00 pm, Sun Closed",,,http://www.yellowpages.com/scottsdale-az/mip/live-jacked-training-studio-536971318,
23,,Raintree Studio,(480) 483-3035,"7735 E Redfield Rd, Scottsdale, AZ 85260",,"Scottsdale, AZ",2024-01-23 20:15:56,Airpark,,,,Studio Rental,,,,,,http://www.yellowpages.com/scottsdale-az/mip/raintree-studio-14085783,
24,,Designer Studio,(480) 704-3335,"16459 N Scottsdale Rd Ste 103, Scottsdale, AZ 85254",,"Scottsdale, AZ",2024-01-23 20:15:56,Airpark,,Phone:  (480) 442-4702,,Studio Rental,,Parking: Lot,,,,http://www.yellowpages.com/scottsdale-az/mip/designer-studio-504914390,
25,,Conservatory of Recording Arts & Science,(844) 897-9730,"2300 E Broadway Rd, Tempe, AZ 85282",http://cras.edu,"Mesa, AZ",2024-01-23 20:42:25,,hamm@cras.org,,,"Recording Service-Sound & Video, Adult Education, Audio-Visual Creative Services, Audio-Visual Production Services, Industrial, Technical & Trade Schools, Music Instruction-Instrumental, Music Schools, Schools",Appointment Only Hours,,Mon - Sun 12:00 am - 11:59 pm,Arizona Premier Audio Education,"At Conservatory of Recording Arts & Science, we've been preparing students for careers in audio recording engineering for more than 30 years. We will provide you with an education that can give you the knowledge and skills to record music, create video game sounds, create ringtones, and produce movie soundtracks. Call us today for more information!",http://www.yellowpages.com/tempe-az/mip/conservatory-of-recording-arts-science-504832494?lid=1002096468601,
26,,Epicentre Recording,(480) 270-2221,"104 E Pierce St, Phoenix, AZ 85004",http://www.epicentre-recording.com,"Glendale, AZ",2024-01-23 20:49:05,"Central City, Downtown Phoenix",contact@epicentre-recording.com,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: 9:00 am - 6:00 pm,,,http://www.yellowpages.com/phoenix-az/mip/epicentre-recording-476056748,https://i2.ypcdn.com/blob/2b4275fbc1de75eaa4f25516af28be9f9e917521_228x168_crop.jpg
27,,Muzik House Studios L.L.C,(480) 234-7808,"1658 N Old Colony, Mesa, AZ 85201",,"Mesa, AZ",2024-01-23 20:42:25,Comite de Families en Accion,muzikhousestudios@gmail.com,For Studio Bookings:  (480) 234-7808,,"Recording Service-Sound & Video, Music Producers, Recording Studio Equipment, Studio Rental",,Parking: On Site,,"Muzik House Studios LLC - ""Where Recording is Essential""  
(Home of The INDUSTRY SOUND)",We Offer Quality Recordings At An Affordable Price - Since 2002 From California To Arizona - Muzik House Studios Have Been Recording Both Indie and Industry Artists - With Over 200 Projects Under It's Belt - Muzik House Is Still Dedicated To Customer Service Satisfaction and Quality Recording.,http://www.yellowpages.com/mesa-az/mip/muzik-house-studios-l-l-c-481059750,https://i1.ypcdn.com/blob/9f0571b8653159fc2cbb04fa4c497848cb766255_228x168_crop.jpg
28,,Cosmic Soup Recording,(480) 331-7687,"3150 N 24th St Ste C200, Phoenix, AZ 85016",http://www.cosmicsouprecording.com,"Glendale, AZ",2024-01-23 20:49:05,,mail@cosmicsouprecording.com,,,Recording Service-Sound & Video,Regular Hours,,"Mon - Fri: 9:00 am - 5:00 pm, Sat - Sun Closed",Contact us today!,"We specialize in making quality, professional sounding recordings for an affordable price. Repeat as well as  new clientielle who can expect quality, professional service from an audio engineer with detailed knowledge all at a very competitive rate. ..",http://www.yellowpages.com/phoenix-az/mip/cosmic-soup-recording-465386072,https://i2.ypcdn.com/blob/9bdfc770e4ff61718b8c05328fad262b41c248ca_228x168_crop.jpg
29,,Switchblade Sound Llc,(602) 770-5463,"Hardy and Broadway, Tempe, AZ 85281",http://www.switchbladesound.com,"Mesa, AZ",2024-01-23 20:42:25,,switchblademail@yahoo.com,Phone:  (480) 203-0442,,"Recording Service-Sound & Video, Party Supply Rental, Sound System Consultants",,,,,,http://www.yellowpages.com/tempe-az/mip/switchblade-sound-llc-25159367,
30,,Arizona Strong Hold Music LLC,(602) 349-1224,"8155 N 24th Ave, Phoenix, AZ 85021",http://www.ashmusicstudios.com,"Glendale, AZ",2024-01-23 20:49:05,,azstrongholdmusic@gmail.com,,,"Recording Service-Sound & Video, Music Producers, Photography & Videography, Studio Rental, Web Site Design & Services",Regular Hours,,Mon - Sun: 9:00 am - 5:00 pm,Got Studio?,"Vocal recording, Mixing, Phoenix Hip Hop, Arizona Hip Hop, R&B, Production, Beats",http://www.yellowpages.com/phoenix-az/mip/arizona-strong-hold-music-llc-497697113,https://i3.ypcdn.com/blob/76e91f759f9ea552add11539d2315f60477b4894_228x168_crop.jpg
1,,Secret Studios,(415) 821-1957,"2200 Cesar Chavez, San Francisco, CA 94124",http://secretstudios.com,"San Francisco, CA",2024-01-23 20:16:23,"Southeast San Francisco, Potrero Hill",happysanchez@aol.com,,"https://www.yelp.com/biz/secret-studios-san-francisco, https://foursquare.com/v/secret-studios/4a8cc76ff964a520200f20e3","Recording Service-Sound & Video, Audio-Visual Creative Services, Audio-Visual Production Services, Studio Rental",Regular Hours,,Mon - Sun: 10:00 am - 4:00 pm,Professional Rehearsal Facility,Secret Studios Is A Professional Rehearsal Facility That Has Been Serving Bay Area Musicians For over 25 Years,http://www.yellowpages.com/san-francisco-ca/mip/secret-studios-453693383?lid=1001763852625,https://i2.ypcdn.com/blob/a67108b7ad647ed60b865edd6e32b7c34673d322_228x168_crop.jpg
3,,Download Recordings Inc,(415) 742-5176,"627 41st Ave Apt 4, San Francisco, CA 94121",,"San Francisco, CA",2024-01-23 20:16:23,"Outer Richmond, Northwest San Francisco",,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/san-francisco-ca/mip/download-recordings-inc-468107768,
4,,SF CREATIVITY,(415) 933-5627,"800 26th Ave, San Francisco, CA 94121",,"San Francisco, CA",2024-01-23 20:16:23,"Northwest San Francisco, Outer Richmond",,,,"Recording Service-Sound & Video, Commercial Photographers, Graphic Designers, Sculptors, Web Site Design & Services",Regular Hours,,"Mon - Sat: 9:30 am - 6:30 pm, Sun Closed",,,http://www.yellowpages.com/san-francisco-ca/mip/sf-creativity-464659805,
5,,Outpost Studios,(415) 977-1818,"69 Green St, San Francisco, CA 94111",http://www.outpostfilm.com,"San Francisco, CA",2024-01-23 20:16:23,"Northeast San Francisco, Northern Waterfront",dave@outpostfilm.com,,,"Recording Service-Sound & Video, Audio-Visual Production Services, Video Production Services",Regular Hours,Parking: Street,Mon - Fri: 9:00 am - 6:00 pm,,"We at Outpost Studios are at the forefront of an exciting new era of filmmaking, post-production, games, and music production. Digital film, and new technologies are having a lasting effect on our business, increasing the amount of local and international projects being produced. We strive to provide quality sound regardless of the size of the project, or the medium. We have a list of credits backing our philosophy of friendly, professional, on-time and on-budget services. Outpost has the largest lock-to-picture Dolby Digital mix stage in San Francisco. Our Euphonix digitally controlled console, spacious Isolation Booth, and ADR/Foley Stage makes Outpost a special destination for inner city post-production sound. Our facility features a Protools HD 3 Accel with Sync I/O, featuring the most current music and film plug-ins including Roger Nichols plugins and Filterbank McDSP. The Digidesign HD 3 Accel which runs on an 8-core 3.0 GHz Mac Pro gives us all the power we need. Using Soundminer 3.0 as our sound effects database has sped up our entire post-production process. Our strife to be on the leading edge of technology signals to all of our clients the commitment to quality sound that Outpost Studios is famous for without increasing prices.",http://www.yellowpages.com/san-francisco-ca/mip/outpost-studios-482556473,https://i4.ypcdn.com/blob/cfefa5dfbad0b575f4a999e13f43e147a4481d09_228x168_crop.jpg
6,,Skywalker Sound,(415) 662-1000,"1110 Gorgas Ave, San Francisco, CA 94129",http://skysound.com,"San Francisco, CA",2024-01-23 20:16:23,"Presidio National Park, Northwest San Francisco",,Fax:  (415) 662-2429,,"Recording Service-Sound & Video, Video Production Services",,,,,"Skywalker Sound is one of the largest, most versatile full-service post-production facilities in the world. The company offers more than five-fully-equipped mixing studios, a large variety of both picture and sound editing rooms and a complete audio and video transfer services. In addition, Skywalker Sound lays claim to a world-class scoring stage and the breathtaking Stag Theater. Skywalker Sound's extensive list of credits includes feature and television films along with a diverse assortment of specialized formats. The company has been a dynamic force in the art of sound design, editing and mixing for more than 25 years. With nearly 20 Academy Awards and dozens of nominations for best achievement in sound and sound effects editing, the company has established itself at the forefront of the industry. Skywalker Sound is headquartered in San Rafael, Calif.",http://www.yellowpages.com/san-francisco-ca/mip/skywalker-sound-7893390,
7,,Mr. Tipple's Recording Studio,(415) 851-8561,"39 Fell St, San Francisco, CA 94102",http://www.mrtipplessf.com,"San Francisco, CA",2024-01-23 20:16:23,"Northeast San Francisco, Civic Center",jazz@mrtipplessf.com,Phone:  (415) 384-9365 Phone:  (415) 829-7982 Phone:  (415) 851-8560,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,"Takes Reservations: No, Parking: Street, Outdoor Seating: No, Bike Parking: Yes, Wheelchair Accessible: Yes","Mon - Thu: 5:00 pm - 12:00 am, Fri - Sat: 5:00 pm - 1:00 am, Sun Closed",,,http://www.yellowpages.com/san-francisco-ca/mip/mr-tipples-recording-studio-529031903,
8,,Stubblebine Paul Mastering,(415) 522-0108,"1340 Mission St, San Francisco, CA 94103",http://www.paulstubblebine.com/home/email.html,"San Francisco, CA",2024-01-23 20:16:23,"Southeast San Francisco, South of Market",stubblebine@paulstubblebine.com,Phone:  (415) 469-0123,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/san-francisco-ca/mip/stubblebine-paul-mastering-2525624,
9,,Transparent Recordings,(415) 563-6164,"883 Golden Gate Ave, San Francisco, CA 94102",http://www.transparentrecordings.com,"San Francisco, CA",2024-01-23 20:16:24,"Western Addition, Northwest San Francisco",webmaster@transparentrecordings.com,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/san-francisco-ca/mip/transparent-recordings-31196100,
10,,Hg,(415) 441-8934,"245 Hyde St, San Francisco, CA 94102",http://www.freqlabrecording.com,"San Francisco, CA",2024-01-23 20:16:24,"Tenderloin, Northeast San Francisco",,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: 6:00 am - 5:30 pm,,,http://www.yellowpages.com/san-francisco-ca/mip/hg-482234208,https://i2.ypcdn.com/blob/91c284ea8b5c8dc001c768d4940b235b1150e7b9_228x168_crop.jpg
11,,Men Are Pigs Music,(415) 701-8786,"685 Haight St Apt 9, San Francisco, CA 94117",,"San Francisco, CA",2024-01-23 20:16:24,"Lower Haight, Northwest San Francisco",menrpigsmusic@yahoo.com,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/san-francisco-ca/mip/men-are-pigs-music-1891165,
12,,Pyramind,(415) 896-9800,"880 Folsom St, San Francisco, CA 94107",http://www.pyramind.com,"San Francisco, CA",2024-01-23 20:16:24,"Southeast San Francisco, South of Market",,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,Parking: Street,"Mon - Fri: 9:00 am - 10:00 pm, Sat - Sun: 12:00 pm - 6:00 pm",,,http://www.yellowpages.com/san-francisco-ca/mip/pyramind-5362470,
13,,Planet 3,(415) 682-9900,"611 Folsom St, San Francisco, CA 94107",,"San Francisco, CA",2024-01-23 20:16:24,"Southeast San Francisco, South of Market",,Phone:  (415) 552-7222,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/san-francisco-ca/mip/planet-3-7956969,https://i3.ypcdn.com/blob/dd441ec82951dfd64f27432a18e6a319bb953983_228x168_crop.jpg
14,,One Union Recording Studios,(415) 675-7477,"1 Union St, San Francisco, CA 94111",http://www.oneunionrecording.com,"San Francisco, CA",2024-01-23 20:16:24,"Northeast San Francisco, Northern Waterfront",,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,Parking: Lot,Mon - Fri: 9:00 am - 6:00 pm,,,http://www.yellowpages.com/san-francisco-ca/mip/one-union-recording-studios-4353314,
15,,The Recording Academy,(310) 392-3777,"44 Page St, San Francisco, CA 94102",https://www.grammy.com,"San Francisco, CA",2024-01-23 20:16:24,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/san-francisco-ca/mip/the-recording-academy-10563669,
16,,Toast Studios,(415) 864-8678,"1340 Mission St, San Francisco, CA 94103",,"San Francisco, CA",2024-01-23 20:16:24,"Southeast San Francisco, South of Market",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/san-francisco-ca/mip/toast-studios-9351169,
17,,Data Stream Studio,(415) 441-7370,"245 Hyde St, San Francisco, CA 94102",http://datastreamstudio.com,"San Francisco, CA",2024-01-23 20:16:23,"Tenderloin, Northeast San Francisco",,,,"Recording Service-Sound & Video, Recording Studio Equipment",,,,,,http://www.yellowpages.com/san-francisco-ca/mip/data-stream-studio-460292381,
18,,Hyde Street Studios,(415) 441-8934,"245 Hyde St, San Francisco, CA 94102",http://www.hydestreet.com,"San Francisco, CA",2024-01-23 20:16:24,"Tenderloin, Northeast San Francisco",michael@hydestreet.com,,,Recording Service-Sound & Video,Regular Hours,"Good for Kids: Yes, Good For Family: Yes",Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/san-francisco-ca/mip/hyde-street-studios-7815253,
19,,Record Pressing.Com,(415) 431-7967,"475 Haight St, San Francisco, CA 94117",http://recordpressing.com,"San Francisco, CA",2024-01-23 20:16:24,"Northwest San Francisco, Lower Haight",ogoss@zebra-records.com,,,Recording Service-Sound & Video,Regular Hours,,Mon: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/san-francisco-ca/mip/record-pressing-com-793575,
20,,Last Drop Mastering,(407) 538-6025,"3191 16th St, San Francisco, CA 94103",http://www.lastdropmastering.com,"San Francisco, CA",2024-01-23 20:16:24,"Southwest San Francisco, Mission Dolores",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/san-francisco-ca/mip/last-drop-mastering-526119851,
21,,Asphodel Limited,(415) 863-3068,"763 Brannan St, San Francisco, CA 94103",http://asphodel.com,"San Francisco, CA",2024-01-23 20:16:24,"Southeast San Francisco, South of Market",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/san-francisco-ca/mip/asphodel-limited-5958431,https://i1.ypcdn.com/blob/ed054cf4c1eab2f8745080ba2c3b0bc6e13173b5_228x168_crop.jpg
22,,Different Fur,(415) 864-1967,"3470 19th St, San Francisco, CA 94110",http://differentfurstudios.com,"San Francisco, CA",2024-01-23 20:16:24,"Southeast San Francisco, Mission District",lindsey@differentfurstudios.com,Phone:  (415) 828-4060,,Recording Service-Sound & Video,,Parking: Street,,,,http://www.yellowpages.com/san-francisco-ca/mip/different-fur-2852357,https://i4.ypcdn.com/blob/f23b6862bf606db62436dd82295590926a8f64df_228x168_crop.jpg
23,,Delos Productions Inc,(707) 996-3844,"1245 California St, San Francisco, CA 94109",http://delosmusic.com,"San Francisco, CA",2024-01-23 20:16:24,"Nob Hill, Northeast San Francisco",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/san-francisco-ca/mip/delos-productions-inc-18770994,
24,,Wild Shadow Studios,(650) 450-9660,"795 Folsom St, San Francisco, CA 94107",https://remaster.realmofthemadgod.com?cat=111,"San Francisco, CA",2024-01-23 20:16:24,"Southeast San Francisco, South of Market",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/san-francisco-ca/mip/wild-shadow-studios-527642863,
25,,Ustream Inc.,(415) 489-9266,"410 Townsend St Ste 400, San Francisco, CA 94107",http://www.ustream.tv,"San Francisco, CA",2024-01-23 20:16:24,"South of Market, Mission Bay, Southeast San Francisco",UstreamSF@ustream.TV,TollFree:  (800) 778-3090,,Recording Service-Sound & Video,Regular Hours,,Mon - Fri: 8:00 am - 5:30 pm,,,http://www.yellowpages.com/san-francisco-ca/mip/ustream-inc-483347005,
26,,Urge Productions,(415) 881-7468,"3970 19th St, San Francisco, CA 94114",http://urgeproductions.com/contact,"San Francisco, CA",2024-01-23 20:16:24,"Southwest San Francisco, Dolores Heights",booking@urgeproductions.com,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/san-francisco-ca/mip/urge-productions-460946956,
27,,Mad Dog Productions,(415) 845-7670,"1819 Polk St, San Francisco, CA 94109",http://jasonmonet.com,"San Francisco, CA",2024-01-23 20:16:24,"Northeast San Francisco, Polk Gulch",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/san-francisco-ca/mip/mad-dog-productions-527455905,
28,,Idle Thumbs,(201) 412-3461,"355 Bryant St, San Francisco, CA 94107",https://www.idlethumbs.net/about,"San Francisco, CA",2024-01-23 20:16:24,,,TollFree:  (800) 625-0806,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/san-francisco-ca/mip/idle-thumbs-570724639,
29,,Disher Music & Sound Inc,(415) 537-0715,"644 Broadway, San Francisco, CA 94133",http://www.dishermusic.com,"San Francisco, CA",2024-01-23 20:16:24,"North Beach, Northeast San Francisco",,,,Recording Service-Sound & Video,Regular Hours,,"Mon - Fri: 9:00 am - 7:00 pm, Sat - Sun: 11:00 am - 5:00 pm",,,http://www.yellowpages.com/san-francisco-ca/mip/disher-music-sound-inc-537717580,https://i1.ypcdn.com/blob/5471b970ac1ef7b461c00d45b6e2d5f6b21b2393_228x168_crop.jpg
