Recording Studio_rank,name,phone,address,website,location,search_datetime,neighborhood,email,extra_phones,social_links,categories,hour_category,other_info,detailed_hours,slogan,general_info,yp_url,space_image
15,Alta Vista Recording,(512) 326-5490,"5116 Turnstone Dr, Austin, TX 78744",http://altavistarecording.com,"Austin, TX",2024-01-24 08:21:36,"Southeast Austin, Franklin Park",Tom@altavistarecording.com,,,Recording Service-Sound & Video,Regular Hours,,"Mon - Sat: 10:00 am - 10:00 pm, Sun: 11:00 am - 10:00 pm",Igniting Ecellence since 1995.,Alta Vista Recording Studios bridge the gap between high-dollar sound and rates that accommodate everybody. Visit our rates page and you may notice that we are one of the few Austin studios that print our rates. That’s because we are proud of them and don’t feel like we need to win you over with a sales pitch before we talk about them. Our FAQ page can fill you in on the recording process and our policies.,http://www.yellowpages.com/austin-tx/mip/alta-vista-recording-2544824,"https://i1.ypcdn.com/blob/87b3190e4662fbb83ef155acaa83f0f9c360a60e_573x422_crop.jpg, https://i2.ypcdn.com/blob/e78d1837401e26a3a1c66bf40295ecb80bc273de_475x422_crop.jpg, https://i2.ypcdn.com/blob/1094b88f4d6755f512ff13a3e315ad5cb4b219ed_475x422_crop.jpg"
16,Arlyn Studios,(512) 447-2337,"200 Academy Dr, Austin, TX 78704",http://www.arlynstudios.com,"Austin, TX",2024-01-24 08:21:37,"Greater South River City, South River City",booking@arlynstudios.com,,,"Recording Service-Sound & Video, Audio-Visual Production Services, Music Producers, Recording Studio Equipment, Studio Rental",,,,Austin's original premier recording facility.,,http://www.yellowpages.com/austin-tx/mip/arlyn-studios-924174,"https://i1.ypcdn.com/blob/fda8de87f7583e9ad2e9f325f556b6383e3fa49a_573x422_crop.jpg, https://i4.ypcdn.com/blob/e1c1ce110ca365508d391914d2bc76cf6d8d755c_475x422_crop.jpg, https://i3.ypcdn.com/blob/d61fa53edbfcb92f3d37ca9a9bf956777f7ce409_475x422_crop.jpg, https://i4.ypcdn.com/blob/d0fa2fa700503d7b5524441201bcb5914f0af335_475x422_crop.jpg, https://i3.ypcdn.com/blob/b676323e23bd8069ff904e7ce0e446f50f4b29ae_475x422_crop.jpg, https://i2.ypcdn.com/blob/af0a180ab5be3403752066e681375e2b948dd1cd_312x312_crop.jpg, https://i4.ypcdn.com/blob/9fc087bd4e7def10a81bc30920527f7f2f97bc91_599x347_crop.jpg, https://i1.ypcdn.com/blob/8dbfe4ae6efea3e61fc6c3f49f27b58aa6eac7b6_599x347_crop.jpg, https://i2.ypcdn.com/blob/8389da741981501006c6d6bdeaa2b5756ffb7ca4_475x422_crop.jpg"
17,Band Coop Rehearsal Studios,(512) 339-1276,"9201 Brown Ln  Suite 143, Austin, TX 78754",,"Austin, TX",2024-01-24 08:21:38,,info@bandcoopstudios.com,,,"Recording Service-Sound & Video, Recording Studio Equipment, Studio Rental",Regular Hours,Parking: Lot,"Mon - Fri: 5:00 pm - 2:00 am, Sat - Sun: 1:00 pm - 2:00 am",,,http://www.yellowpages.com/austin-tx/mip/band-coop-rehearsal-studios-453655556,
18,Spitshine Studios,(512) 917-5558,"5434 Burnet Rd Bldg B, Austin, TX 78756",http://www.spitshinestudios.com,"Austin, TX",2024-01-24 08:21:39,Allandale,spitshinestudios@yahoo.com,Phone:  (512) 555-5555,,"Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,,Mon - Sun: 12:00 am - 11:59 pm,,,http://www.yellowpages.com/austin-tx/mip/spitshine-studios-490543246,
19,Pouch 6 Studios,(512) 200-4130,"902 E 5th St, Austin, TX 78702",https://pouch6studios.com/perks-of-the-top-video-and-photography-studio-in-austin,"Austin, TX",2024-01-24 08:21:39,,,,,"Recording Service-Sound & Video, Video Production Services",Regular Hours,,"Mon - Fri: 8:00 am - 6:00 pm, Sun: 11:00 am - 4:00 pm",,,http://www.yellowpages.com/austin-tx/mip/pouch-6-studios-571019829,
20,Nomad Sound Inc,(512) 507-1228,"1300 E 4th St, Austin, TX 78702",http://www.nomadsound.net,"Austin, TX",2024-01-24 08:21:41,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/austin-tx/mip/nomad-sound-inc-455232011,
21,Wire Recording,(512) 442-7073,"504 Pecan Grove Rd, Austin, TX 78704",http://wirerecording.com,"Austin, TX",2024-01-24 08:21:42,"Greater South River City, South River City",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/austin-tx/mip/wire-recording-473979176,
22,MSR Studios,(212) 944-5770,"705 W 24th St, Austin, TX 78705",https://www.soundonsoundstudios.com/contact,"Austin, TX",2024-01-24 08:21:43,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/austin-tx/mip/msr-studios-519965613,
23,Texas Music Round Up,(512) 480-0765,"1413 Concordia Ave, Austin, TX 78722",http://anyandallmedia.com,"Austin, TX",2024-01-24 08:21:44,Upper Boggy Creek,tmru@texasmusicroundup.com,,,"Recording Service-Sound & Video, CD's, Records & Tapes-Wholesale & Manufacturers",Regular Hours,"Parking: Street, Free","Mon - Fri: 11:00 am - 6:00 pm, Sat - Sun Closed",,,http://www.yellowpages.com/austin-tx/mip/texas-music-round-up-8843467,
24,512 Studios,(512) 522-0359,"2228 S Lamar Blvd, Austin, TX 78704",https://www.512studios.com,"Austin, TX",2024-01-24 08:21:44,,,,,"Recording Service-Sound & Video, Video Production Services",Regular Hours,,Mon - Sun: 10:00 am - 12:00 am,,,http://www.yellowpages.com/austin-tx/mip/512-studios-552329195,https://i3.ypcdn.com/blob/edaaf5cb66639d52a5e01fba56018a61cd506338_573x422_crop.jpg
25,The Production Block,(512) 472-8975,"3011 N Lamar Blvd, Austin, TX 78705",http://productionblock.com,"Austin, TX",2024-01-24 08:21:45,,joel@productionblock.com,,,"Recording Service-Sound & Video, Audio-Visual Production Services",,,,,,http://www.yellowpages.com/austin-tx/mip/the-production-block-12326437,
26,East End Audio Arts,(512) 917-2921,"926 Springdale Rd, Austin, TX 78702",https://allangill.com/contact,"Austin, TX",2024-01-24 08:21:45,,,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/austin-tx/mip/east-end-audio-arts-559678687,
27,Recording Academy,(512) 328-7997,"3601 S Congress Ave, Austin, TX 78704",http://www.dubacademy.com,"Austin, TX",2024-01-24 08:21:47,,,Phone:  (310) 392-3777 Fax:  (512) 328-7998,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/austin-tx/mip/recording-academy-17368106,
28,Music R3Al,(512) 337-6905,"5900 Balcones Dr, Austin, TX 78731",http://r3almusic.com,"Austin, TX",2024-01-24 08:21:48,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/austin-tx/mip/music-r3al-572780302,
29,Deep South Productions,(512) 441-3045,"8004B Wynne Ln, Austin, TX 78745",http://deepsouthaustin.com,"Austin, TX",2024-01-24 08:21:48,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/austin-tx/mip/deep-south-productions-30106580,
30,Golliber Records,(512) 288-4450,"7405 Mifflin Kenedy Ter, Austin, TX 78749",,"Austin, TX",2024-01-24 08:21:49,Legend Oaks,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/austin-tx/mip/golliber-records-30068668,
2,The Lodge Recording Studio,(317) 568-0000,"3350 Roosevelt Ave, Indianapolis, IN 46218",http://www.thelodgestudios.com,"Indianapolis, IN",2024-01-24 08:21:51,Martindale - Brightwood,operations@thelodgestudios.com,,,"Recording Service-Sound & Video, Studio Rental",,,,,"There will be a live performance for a select number of finalists on August 14th at Sam Ash Music Stores on Center Run Drive. Live performances will be recorded and posted online for one week past the live show. Winner will be determined by the number of online votes based on the finalist's original song. Original song submitted for contest must be played at live finalist showcase. The showcase will feature the ""unplugged"" version of the finalist's original song.",http://www.yellowpages.com/indianapolis-in/mip/the-lodge-recording-studio-2029576,
3,Azmyth Recording,(317) 849-2009,"5210 E 65th St, Indianapolis, IN 46220",http://www.azmythrecording.com,"Indianapolis, IN",2024-01-24 08:21:51,"Allisonville, Eastwood",azmythrecording@yahoo.com,Phone:  (317) 848-3847,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,Parking: Lot,Mon - Sun: 12:00 am - 11:59 pm,,,http://www.yellowpages.com/indianapolis-in/mip/azmyth-recording-4415154,"https://i2.ypcdn.com/blob/e4b4048daa4a050e4fc6320270bdbb492e7eefa4_573x422_crop.jpg, https://i1.ypcdn.com/blob/c1f9fa048ed973c413ebb654ff97a91d301830fb_475x422_crop.jpg, https://i3.ypcdn.com/blob/b54ce2179adadfeb4df1a7b7f3846e007e0667eb_475x422_crop.jpg, https://i3.ypcdn.com/blob/9c709679270fe74cfcd7f325e57ce1e021847ec0_475x422_crop.jpg, https://i1.ypcdn.com/blob/928c5ae70338a1823d6d1f2e347abf638c6a6839_475x422_crop.jpg, https://i1.ypcdn.com/blob/923ecd9687b3ea40e3763585c5ae064544b742d2_312x312_crop.jpg, https://i2.ypcdn.com/blob/4a92a98773b67cd4aa9822f0c83536ca5f402d8d_599x347_crop.jpg, https://i3.ypcdn.com/blob/409ab4fc4a3baf47652adda2dd7ca7b44dd42aee_599x347_crop.jpg, https://i4.ypcdn.com/blob/1f87502ccfde487875f2376c4f4c591be5393abc_475x422_crop.jpg"
4,M Productions,(317) 721-4776,"8481 Bash St, Indianapolis, IN 46250",http://mproco.com,"Indianapolis, IN",2024-01-24 08:21:52,"Castleton, Hearth Stone",info@mproco.com,Phone:  (317) 402-1436,,"Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/indianapolis-in/mip/m-productions-451345252,https://i3.ypcdn.com/blob/03387520be518ffbaf4c9b924d04d12a588ec38a_573x422_crop.jpg
5,Video Fotografía,(317) 403-8779,"2908 S Kenmore Rd, Indianapolis, IN 46203",,"Indianapolis, IN",2024-01-24 08:21:54,"Southeast Indianapolis, Glenroy Village",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/indianapolis-in/mip/video-fotografa-497766649,
6,Round Table Recording,(317) 981-5351,"6345 Carrollton Ave, Indianapolis, IN 46220",https://thertrc.com/education-contact,"Indianapolis, IN",2024-01-24 08:21:55,,,,,"Recording Service-Sound & Video, Music Producers, Recording Studio Equipment, Studio Rental",Regular Hours,,"Mon - Sat: 8:00 am - 2:00 am, Sun: 10:00 am - 2:00 am",,Round Table Recording is a one of a kind recording studio in Indianapolis. We also specialize in music licensing and publishing.,http://www.yellowpages.com/indianapolis-in/mip/round-table-recording-559215949,
7,416 Wabash,(317) 748-3844,"416 E Wabash St, Indianapolis, IN 46204",http://www.416wabash.com,"Indianapolis, IN",2024-01-24 08:21:56,Downtown Indianapolis,,,,Recording Service-Sound & Video,Regular Hours,"Parking: Garage, Paid, Lot, Free",Mon - Sun: Open 24 Hours,,"416 Wabash is a unique space perfect for your next corporate event, birthday party, wedding, wedding reception, holiday party, live music event and more! 416 Wabash features 3 separate bar areas including a 750 sq. ft. mezzanine well suited for all ages events or VIP treatment. A DJ booth perched high above allows for maximum dance space on our custom lighted floor. Our house sound system and lights includes a JBL array that packs a punch for all your music related needs. Just add your DJ! One of the most unique aspects of 416 Wabash is the full service recording studio.  Built specifically for recording live music events, this state of the art studio is truly a one of a kind.  Features include professionally tuned control room and isolation booth, high-end microphones, boutique preamps and a Solid State Logic XL Recording Desk.",http://www.yellowpages.com/indianapolis-in/mip/416-wabash-532069964,"https://i4.ypcdn.com/blob/0e44d73fb326b904cde5fd81b74a50da0e9b4972_573x422_crop.jpg, https://i3.ypcdn.com/blob/6b1af3dade40f97831ca922921eb53e71260a75c_475x422_crop.jpg, https://i4.ypcdn.com/blob/deb06dd861d705205dd1100c24646f50c99d8886_475x422_crop.jpg, https://i1.ypcdn.com/blob/6fec834a58e60d7dd54b6e2315393156354d594f_475x422_crop.jpg, https://i1.ypcdn.com/blob/dc240071053374379c9c455a448c31f992a1c9df_475x422_crop.jpg, https://i2.ypcdn.com/blob/466e44e0c7067d86827c1ff267c4882b998c7625_312x312_crop.jpg, https://i3.ypcdn.com/blob/b590f24c0323eb62e82ba40700ed955c6e4ae378_599x347_crop.jpg"
8,Warfare Entertainment,(317) 284-4852,"3754 Baltimore Ave, Indianapolis, IN 46218",https://warfare-entertainment.ueniweb.com/legal-notice,"Indianapolis, IN",2024-01-24 08:21:57,,,,,Recording Service-Sound & Video,Regular Hours,,"Mon: 11:00 am - 11:00 pm, Wed - Thu: 11:00 am - 11:00 pm, Fri: 12:00 pm - 11:00 pm, Sat: 11:00 am - 11:00 pm",,"Representing first-rate artists in Indianapolis is our passion, and nobody does it better than Warfare Entertainment LLC. We have developed a roster that spans the full spectrum of popular music, comprising an unrivalled catalogue of talented, professional musicians who can release hits while still innovating, elevating popular music to the next level.",http://www.yellowpages.com/indianapolis-in/mip/warfare-entertainment-561636607,
9,Caboose Productions,(317) 545-5165,"2204 Duke St, Indianapolis, IN 46205",http://www.caboosepro.com,"Indianapolis, IN",2024-01-24 08:21:58,Fairgrounds,,Phone:  (317) 545-6110 Fax:  (317) 547-4668,,"Recording Service-Sound & Video, Recording Studio Equipment",,,,,,http://www.yellowpages.com/indianapolis-in/mip/caboose-productions-5651864,https://i4.ypcdn.com/blob/4ea6eadfefc9d1cebcc80a8983ee2e7144dcc1b4_573x422_crop.jpg
10,Edit Pointe,(317) 822-3717,"345 Massachusetts Ave, Indianapolis, IN 46204",http://www.creativestreet.com/video.aspx,"Indianapolis, IN",2024-01-24 08:21:58,Downtown Indianapolis,t.douglass@webize.com,Phone:  (317) 822-3722 Phone:  (317) 822-3715,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/indianapolis-in/mip/edit-pointe-5574155,
11,Ripple FX,(317) 255-7618,"6330 Ferguson St, Indianapolis, IN 46220",http://www.ripplefx.com,"Indianapolis, IN",2024-01-24 08:21:59,Broad Ripple,,Fax:  (317) 255-7663,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/indianapolis-in/mip/ripple-fx-2492083,https://i3.ypcdn.com/blob/ea7fecbf864e636c0348d06893f291b829663056_573x422_crop.jpg
12,Urban Genius Records,(317) 384-8985,"136 E Market St, Indianapolis, IN 46204",https://www.jaronmarquis.com,"Indianapolis, IN",2024-01-24 08:22:00,Downtown Indianapolis,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/indianapolis-in/mip/urban-genius-records-547271774,
13,Roamans,(317) 266-3300,"2300 Southeastern Ave, Indianapolis, IN 46201",,"Indianapolis, IN",2024-01-24 08:22:00,Near Southeast,,Fax:  (317) 266-3393,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/indianapolis-in/mip/roamans-451384170,
14,Citydump Records,(317) 506-3135,"1805 Howard St, Indianapolis, IN 46221",https://www.citydumprecords.com,"Indianapolis, IN",2024-01-24 08:22:02,West Indianapolis,,Phone:  (317) 634-1340,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/indianapolis-in/mip/citydump-records-451782113,
15,Main Event Sound & Lighting,(317) 402-8424,"5602 Elmwood Ave, Indianapolis, IN 46203",http://www.maineventsound.com,"Indianapolis, IN",2024-01-24 08:22:03,Beech Grove,kelly@maineventsound.com,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: 7:00 am - 5:00 pm,,,http://www.yellowpages.com/indianapolis-in/mip/main-event-sound-lighting-507682585,
16,Scattered Origin Records,(317) 413-4870,"Po Box 20866, Indianapolis, IN 46220",http://scatteredorigin.com/contact-us,"Indianapolis, IN",2024-01-24 08:22:04,,,,,Recording Service-Sound & Video,Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/indianapolis-in/mip/scattered-origin-records-554617123,
17,Humble Creations Studios,(317) 762-6640,"5060 E 62nd St Ste 100, Indianapolis, IN 46220",https://www.humblecreationsmc.com,"Indianapolis, IN",2024-01-24 08:22:04,,info@humblecreationsmc.com,,,"Recording Service-Sound & Video, Music Producers, Music Schools",Regular Hours,,Mon - Sun: 9:00 am - 11:00 pm,,,http://www.yellowpages.com/indianapolis-in/mip/humble-creations-studios-538029890,
18,Skrewface Entertainment,(317) 209-9440,"6242 La Pas Trl, Indianapolis, IN 46268",,"Indianapolis, IN",2024-01-24 08:22:05,,,,,"Recording Service-Sound & Video, Record Labels",,"Parking: Lot, Free, Wheelchair Accessible: Yes",,,,http://www.yellowpages.com/indianapolis-in/mip/skrewface-entertainment-519646481,https://i2.ypcdn.com/blob/b9e7019861dab585008d87fd39a8dc2c0dac21fc_573x422_crop.jpg
19,Kane's Recording Studio,(317) 864-0364,"11903 E Welland St, Indianapolis, IN 46229",https://kanesrecordingstudio.com,"Indianapolis, IN",2024-01-24 08:22:06,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/indianapolis-in/mip/kanes-recording-studio-568301028,
20,MTM Mastering,(317) 549-3393,"3948 N Dequincy St, Indianapolis, IN 46226",http://www.mtmmastering.com,"Indianapolis, IN",2024-01-24 08:22:07,"Devington, Central Indianapolis",rsimonton@mtmmastering.com,,,"Music Arrangers & Composers, Music Producers, Musicians, Record Labels, Recording Service-Sound & Video",,,,"Affordable Audio Mastering, Incredible Results",,http://www.yellowpages.com/indianapolis-in/mip/mtm-mastering-22696123,
